model,AUC,ACC,F1,Precision,Recall,n
ucf_emotion_quality_xgb_tuned,0.9698958333333332,0.8775510204081632,0.875,0.875,0.875,196
quality_only_xgb_tuned,0.9635416666666666,0.8775510204081632,0.8666666666666667,0.9285714285714286,0.8125,196
ucf_quality_xgb_tuned,0.9547916666666667,0.8826530612244898,0.8756756756756757,0.9101123595505618,0.84375,196
ucf_emotion_quality_lr,0.9217708333333333,0.8061224489795918,0.8020833333333334,0.8020833333333334,0.8020833333333334,196
ucf_quality_lr,0.91875,0.826530612244898,0.8172043010752689,0.8444444444444444,0.7916666666666666,196
quality_only_lr,0.9055208333333333,0.826530612244898,0.8152173913043478,0.8522727272727273,0.78125,196
ucf_emotion_lr,0.8236458333333333,0.7040816326530612,0.7128712871287128,0.6792452830188679,0.75,196
ucf_only,0.7865625,0.6683673469387755,0.7346938775510204,0.6040268456375839,0.9375,196
emotion_only_lr,0.6933333333333334,0.6530612244897959,0.6222222222222222,0.6666666666666666,0.5833333333333334,196
