model,AUC,ACC,F1,Precision,Recall,n
huggingface_emotion_quality_xgb_tuned,0.9237500000000001,0.8622448979591837,0.847457627118644,0.9259259259259259,0.78125,196
quality_only_xgb_tuned,0.9038541666666666,0.8061224489795918,0.7764705882352941,0.8918918918918919,0.6875,196
huggingface_quality_xgb_tuned,0.8875000000000001,0.8061224489795918,0.7764705882352941,0.8918918918918919,0.6875,196
huggingface_emotion_quality_lr,0.8873958333333333,0.8010204081632653,0.7845303867403315,0.8352941176470589,0.7395833333333334,196
quality_only_lr,0.8746875,0.7959183673469388,0.7701149425287356,0.8589743589743589,0.6979166666666666,196
huggingface_quality_lr,0.8702083333333333,0.7755102040816326,0.75,0.825,0.6875,196
huggingface_emotion_lr,0.6948958333333333,0.6530612244897959,0.6179775280898876,0.6707317073170732,0.5729166666666666,196
emotion_only_lr,0.6933333333333334,0.6530612244897959,0.6222222222222222,0.6666666666666666,0.5833333333333334,196
huggingface_only,0.5395833333333333,0.5306122448979592,0.6198347107438017,0.5136986301369864,0.78125,196
