model,AUC,ACC,F1,Precision,Recall,n
ucf_emotion_quality_xgb_tuned,0.9167051282051282,0.830379746835443,0.8232189973614775,0.8478260869565217,0.8,790
ucf_emotion_quality_lr,0.9060192307692307,0.8329113924050633,0.8258575197889182,0.8505434782608695,0.8025641025641026,790
ucf_quality_xgb_tuned,0.9033878205128205,0.8227848101265823,0.8143236074270557,0.8434065934065934,0.7871794871794872,790
quality_only_xgb_tuned,0.9001730769230769,0.830379746835443,0.820855614973262,0.8575418994413407,0.7871794871794872,790
ucf_quality_lr,0.894102564102564,0.8291139240506329,0.8207171314741036,0.8512396694214877,0.7923076923076923,790
quality_only_lr,0.8922628205128205,0.8189873417721519,0.8105960264900662,0.8383561643835616,0.7846153846153846,790
ucf_emotion_lr,0.7995705128205128,0.7278481012658228,0.7281921618204804,0.7182044887780549,0.7384615384615385,790
ucf_only,0.7569230769230769,0.5987341772151898,0.6876847290640394,0.5584,0.8948717948717949,790
emotion_only_lr,0.7030641025641026,0.6594936708860759,0.6455862977602108,0.6639566395663956,0.6282051282051282,790
