model,AUC,ACC,F1,Precision,Recall,n
huggingface_emotion_quality_xgb_tuned,0.9470833333333334,0.8775510204081632,0.8651685393258427,0.9390243902439024,0.8020833333333334,196
huggingface_quality_xgb_tuned,0.9047916666666667,0.8316326530612245,0.8070175438596491,0.92,0.71875,196
quality_only_xgb_tuned,0.9047916666666667,0.8316326530612245,0.8070175438596491,0.92,0.71875,196
huggingface_emotion_quality_lr,0.8873958333333333,0.8010204081632653,0.7845303867403315,0.8352941176470589,0.7395833333333334,196
quality_only_lr,0.8746875,0.7959183673469388,0.7701149425287356,0.8589743589743589,0.6979166666666666,196
huggingface_quality_lr,0.8702083333333333,0.7755102040816326,0.75,0.825,0.6875,196
huggingface_emotion_lr,0.6948958333333333,0.6530612244897959,0.6179775280898876,0.6707317073170732,0.5729166666666666,196
emotion_only_lr,0.6933333333333334,0.6530612244897959,0.6222222222222222,0.6666666666666666,0.5833333333333334,196
huggingface_only,0.5395833333333333,0.5306122448979592,0.6198347107438017,0.5136986301369864,0.78125,196
