model,AUC,ACC,F1,Precision,Recall,n
huggingface_emotion_quality_xgb_tuned,0.878900641025641,0.7987341772151899,0.7836734693877551,0.8347826086956521,0.7384615384615385,790
huggingface_emotion_quality_lr,0.8733910256410256,0.7911392405063291,0.7773279352226721,0.8205128205128205,0.7384615384615385,790
huggingface_quality_lr,0.8616346153846154,0.7974683544303798,0.782016348773842,0.8343023255813954,0.735897435897436,790
quality_only_lr,0.8613653846153846,0.7886075949367088,0.7734056987788331,0.8213256484149856,0.7307692307692307,790
quality_only_xgb_tuned,0.8597307692307691,0.7924050632911392,0.7747252747252747,0.834319526627219,0.7230769230769231,790
huggingface_quality_xgb_tuned,0.857400641025641,0.7911392405063291,0.7717842323651453,0.8378378378378378,0.7153846153846154,790
emotion_only_lr,0.7030641025641026,0.6594936708860759,0.6455862977602108,0.6639566395663956,0.6282051282051282,790
huggingface_emotion_lr,0.7010641025641026,0.6582278481012658,0.6409574468085106,0.6657458563535912,0.617948717948718,790
huggingface_only,0.5396346153846154,0.4860759493670886,0.6205607476635514,0.48823529411764705,0.8512820512820513,790
