model,AUC,ACC,F1,Precision,Recall,n
xception_emotion_quality_lr,0.9050632911392406,0.832258064516129,0.821917808219178,0.8571428571428571,0.7894736842105263,155
quality_only_lr,0.8989007328447702,0.8064516129032258,0.7887323943661971,0.8484848484848485,0.7368421052631579,155
xception_quality_lr,0.8972351765489675,0.8,0.7801418439716312,0.8461538461538461,0.7236842105263158,155
xception_quality_xgb_tuned,0.842271818787475,0.7806451612903226,0.7671232876712328,0.8,0.7368421052631579,155
xception_emotion_quality_xgb_tuned,0.8397734843437709,0.7741935483870968,0.7552447552447552,0.8059701492537313,0.7105263157894737,155
quality_only_xgb_tuned,0.8302798134576949,0.7612903225806451,0.7412587412587412,0.7910447761194029,0.6973684210526315,155
xception_emotion_lr,0.7834776815456362,0.7290322580645161,0.7123287671232876,0.7428571428571429,0.6842105263157895,155
emotion_only_lr,0.7098600932711526,0.6387096774193548,0.6,0.65625,0.5526315789473685,155
xception_only,0.6742171885409726,0.6709677419354839,0.5321100917431193,0.8787878787878788,0.3815789473684211,155
